fecha,total_1ra_y_2da_dosis_aplicadas_acumulado
2020-12-29,20471
2020-12-30,40563
2020-12-31,43366
2021-01-01,43489
2021-01-02,46796
2021-01-03,47237
2021-01-04,57688
2021-01-05,68400
2021-01-06,78507
2021-01-07,96708
2021-01-08,124568
2021-01-09,134761
2021-01-10,135929
2021-01-11,155716
2021-01-12,175083
2021-01-13,191825
2021-01-14,208446
2021-01-15,225861
2021-01-16,231731
2021-01-17,232788
2021-01-18,242599
2021-01-19,255816
2021-01-20,275203
2021-01-21,289274
2021-01-22,298455
2021-01-23,302373
2021-01-24,302674
2021-01-25,316833
2021-01-26,329561
2021-01-27,339637
2021-01-28,355644
2021-01-29,379070
2021-01-30,388344
2021-01-31,388966
2021-02-01,408393
2021-02-02,432182
2021-02-03,458713
2021-02-04,486737
2021-02-05,519647
2021-02-06,530543
2021-02-07,531922
2021-02-08,555261
2021-02-09,575412
2021-02-10,590961
2021-02-11,608730
2021-02-12,624408
2021-02-13,627438
2021-02-14,627588
2021-02-15,628883
2021-02-16,630189
2021-02-17,654472
2021-02-18,718088
2021-02-19,785765
2021-02-20,818334
2021-02-21,838495
2021-02-22,905868
2021-02-23,992575
2021-02-24,1085984
2021-02-25,1165104
2021-02-26,1246425
2021-02-27,1264205
2021-02-28,1270277
2021-03-01,1344505
2021-03-02,1419769
2021-03-03,1490889
2021-03-04,1602601
2021-03-05,1713978
2021-03-06,1768835
2021-03-07,1780623
2021-03-08,1882826
2021-03-09,1998331
2021-03-10,2161839
2021-03-11,2348103
2021-03-12,2509141
2021-03-13,2555357
2021-03-14,2564513
2021-03-15,2701331
2021-03-16,2834555
2021-03-17,2973502
2021-03-18,3112019
2021-03-19,3237741
2021-03-20,3288425
2021-03-21,3308012
2021-03-22,3390729
2021-03-23,3496694
2021-03-24,3534006
2021-03-25,3636771
2021-03-26,3729953
2021-03-27,3784933
2021-03-28,3805677
2021-03-29,3925387
2021-03-30,4087913
2021-03-31,4262275
2021-04-01,4379054
2021-04-02,4447039
2021-04-03,4521397
2021-04-04,4569735
2021-04-05,4735145
2021-04-06,4928614
2021-04-07,5166382
2021-04-08,5401597
2021-04-09,5641243
2021-04-10,5733981
2021-04-11,5782214
2021-04-12,5963345
2021-04-13,6148705
2021-04-14,6319807
2021-04-15,6470030
2021-04-16,6593225
2021-04-17,6638757
2021-04-18,6658591
2021-04-19,6748340
2021-04-20,6870432
2021-04-21,7043622
2021-04-22,7220980
2021-04-23,7414769
2021-04-24,7506692
2021-04-25,7555912
2021-04-26,7727530
2021-04-27,7880570
2021-04-28,8038851
2021-04-29,8194528
2021-04-30,8308957
2021-05-01,8329114
2021-05-02,8369185
2021-05-03,8543036
2021-05-04,8774188
2021-05-05,9017668
2021-05-06,9219397
2021-05-07,9423613
2021-05-08,9497345
2021-05-09,9515767
2021-05-10,9656312
2021-05-11,9795285
2021-05-12,9991688
2021-05-13,10182850
2021-05-14,10378000
2021-05-15,10472689
2021-05-16,10540076
2021-05-17,10725992
2021-05-18,10923144
2021-05-19,11089955
2021-05-20,11271215
2021-05-21,11447626
2021-05-22,11547447
2021-05-23,11592557
2021-05-24,11680305
2021-05-25,11743331
2021-05-26,11894878
2021-05-27,12062757
2021-05-28,12306866
2021-05-29,12533004
2021-05-30,12661240
2021-05-31,12958326
2021-06-01,13270269
2021-06-02,13576709
2021-06-03,13924541
2021-06-04,14329894
2021-06-05,14654941
2021-06-06,14870960
2021-06-07,15221799
2021-06-08,15589444
2021-06-09,15958826
2021-06-10,16291250
2021-06-11,16656042
2021-06-12,16839587
2021-06-13,16921277
2021-06-14,17157708
2021-06-15,17413652
2021-06-16,17697949
2021-06-17,18010466
2021-06-18,18407389
2021-06-19,18638214
2021-06-20,18737154
2021-06-21,18906126
2021-06-22,19192374
2021-06-23,19453999
2021-06-24,19757128
2021-06-25,20131672
2021-06-26,20446165
2021-06-27,20621563
2021-06-28,20992088
2021-06-29,21364687
2021-06-30,21737921
2021-07-01,22166950
2021-07-02,22580213
2021-07-03,22915309
2021-07-04,23111007
2021-07-05,23516824
2021-07-06,23931177
2021-07-07,24332380
2021-07-08,24740177
2021-07-09,25095545
2021-07-10,25425936
2021-07-11,25590976
2021-07-12,25975673
2021-07-13,26367364
2021-07-14,26763522
2021-07-15,27161573
2021-07-16,27615201
2021-07-17,27935616
2021-07-18,28102892
2021-07-19,28517976
2021-07-20,28962585
2021-07-21,29379662
2021-07-22,29763761
2021-07-23,30167718
2021-07-24,30403482
2021-07-25,30536709
2021-07-26,30942160
2021-07-27,31366415
2021-07-28,31822708
2021-07-29,32242996
2021-07-30,32666077
2021-07-31,32938280
2021-08-01,33103823
